id,pretengrant_total,pretenpubR1,pretenpubR2,pretenpubR3,pretenpub_total3,tenurejobtop30,tenurejobtop50,tenurejobtop100,tenurejobtop200,tenurejobtop201,firstjobtop10,firstjobtop20,firstjobtop40,firstjobtop41_100,firstjobtop201,acadfirstjob,treat,phdyr,phd_forn,top10phd,top20phd,top40phd,tenure2,cohortc,reapplied,tensamp,tenstream,tenstreamtop,nonacadlastjob,firsttimec,yrsphd8,yrsphd9,yrsphd10,yrsphd11,yrsphd12,yrsphd13,yrsphd14,yrsphd15,yrsphd16
1,0,1,5,6,12,0,0,0,0,0,0,0,0,1,0,1,1,2005,1,0,0,0,0,2,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0
3,0,0,1,4,5,0,0,0,0,1,0,0,0,0,0,1,1,2000,0,0,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
4,0,0,5,6,11,0,0,0,0,0,0,0,0,1,0,1,1,2004,0,0,1,0,1,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
5,0,0,2,4,6,1,1,1,1,0,0,1,0,0,0,1,1,2004,0,0,0,1,1,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
6,0,0,0,4,4,0,0,0,0,1,0,0,0,0,1,1,1,2003,0,0,0,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
7,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,1,1,2005,0,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
8,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,2001,0,0,1,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2002,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
12,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,2004,0,0,0,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
13,2,0,3,17,20,0,0,0,0,0,0,1,0,0,0,1,1,2005,0,1,0,0,0,2,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0
14,2,0,2,18,20,0,0,0,0,1,0,1,0,0,0,1,1,2001,0,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
15,0,0,0,6,6,0,0,0,0,1,0,0,0,0,1,1,0,2003,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
16,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1998,0,1,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
17,0,0,0,3,3,0,0,0,0,1,0,0,0,0,1,1,0,2005,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
18,0,0,4,6,10,0,0,0,0,1,0,0,0,0,1,1,0,2003,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
19,0,1,3,3,7,1,1,1,1,0,1,0,0,0,0,1,1,1999,0,1,0,0,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
20,0,1,4,12,17,0,0,0,0,0,0,0,0,0,0,1,0,2002,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
21,3,2,4,0,6,0,0,0,0,0,0,0,0,0,0,1,0,2003,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
22,0,2,0,1,3,0,0,0,0,1,0,0,0,0,1,1,1,2005,0,0,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
23,0,3,4,6,13,0,0,0,0,0,1,0,0,0,0,1,1,2004,0,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
25,0,0,7,5,12,0,0,0,0,0,1,0,0,0,0,1,1,2004,0,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
26,1,2,12,3,17,0,0,0,0,0,0,0,0,1,0,1,1,2003,0,0,1,0,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
27,0,0,2,2,4,0,0,1,1,0,0,0,0,1,0,1,1,2003,0,1,0,0,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
28,0,0,0,13,13,0,0,0,0,0,0,0,0,1,0,1,0,2000,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
29,0,0,3,8,11,0,0,1,1,0,0,0,0,1,0,1,1,2004,0,0,1,0,1,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
30,0,0,1,6,7,0,0,0,0,1,0,0,0,0,1,1,1,2002,0,0,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
31,0,0,2,2,4,0,0,1,1,0,0,0,0,1,0,1,1,2003,0,0,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
32,0,0,1,6,7,0,0,0,0,1,0,0,0,0,1,1,1,2005,0,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
33,0,0,5,5,10,0,0,0,0,0,0,0,0,0,1,1,1,2003,0,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
34,1,3,3,1,7,1,1,1,1,0,1,0,0,0,0,1,1,2004,0,1,0,0,1,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
37,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,1,1,2003,0,0,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
38,1,0,3,6,9,1,1,1,1,0,0,0,1,0,0,1,1,2003,0,1,0,0,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
